time,journal,doi_info,authors,key words,title,abstract
2024 Jul 1,Nature reviews. Drug discovery,Nat Rev Drug Discov. 2024 Jul 1. doi: 10.1038/s41573-024-00974-9.,"['Gong, Ningqiang', 'Alameh, Mohamad-Gabriel', 'El-Mayta, Rakan', 'Xue, Lulu', 'Weissman, Drew', 'Mitchell, Michael J']",[],Enhancing in situ cancer vaccines using delivery technologies.,"In situ cancer vaccination refers to any approach that exploits tumour antigens available at a tumour site to induce tumour-specific adaptive immune responses. These approaches hold great promise for the treatment of many solid tumours, with numerous candidate drugs under preclinical or clinical evaluation and several products already approved. However, there are challenges in the development of effective in situ cancer vaccines. For example, inadequate release of tumour antigens from tumour cells limits antigen uptake by immune cells; insufficient antigen processing by antigen-presenting cells restricts the generation of antigen-specific T cell responses; and the suppressive immune microenvironment of the tumour leads to exhaustion and death of effector cells. Rationally designed delivery technologies such as lipid nanoparticles, hydrogels, scaffolds and polymeric nanoparticles are uniquely suited to overcome these challenges through the targeted delivery of therapeutics to tumour cells, immune cells or the extracellular matrix. Here, we discuss delivery technologies that have the potential to reduce various clinical barriers for in situ cancer vaccines. We also provide our perspective on this emerging field that lies at the interface of cancer vaccine biology and delivery technologies."
2024 Jun 25,ACS nano,ACS Nano. 2024 Jun 25;18(25):16151-16165. doi: 10.1021/acsnano.4c01171. Epub 2024 ,"['Hamilton, Alex G', 'Swingle, Kelsey L', 'Thatte, Ajay S', 'Mukalel, Alvin J', 'Safford, Hannah C', 'Billingsley, Margaret M', 'El-Mayta, Rakan D', 'Han, Xuexiang', 'Nachod, Benjamin E', 'Joseph, Ryann A', 'Metzloff, Ann E', 'Mitchell, Michael J']","['animals', ' nanoparticles chemistry', ' rna, messenger genetics', 'mice', ' lipids chemistry', ' mice, inbred c57bl', 'high-throughput screening assays', 'female', 'injections, intramuscular', 'dendritic cells immunology metabolism', 'injections, intravenous', 'immunotherapy', 'liposomes', 'high-throughput screening', 'immunoengineering', 'in vivo', 'lipid nanoparticles', 'mrna', 'vaccines']",High-Throughput In Vivo Screening Identifies Differential Influences on mRNA Lipid Nanoparticle Immune Cell Delivery by Administration Route.,"Immune modulation through the intracellular delivery of nucleoside-modified mRNA to immune cells is an attractive approach for in vivo immunoengineering, with applications in infectious disease, cancer immunotherapy, and beyond. Lipid nanoparticles (LNPs) have come to the fore as a promising nucleic acid delivery platform, but LNP design criteria remain poorly defined, making the rate-limiting step for LNP discovery the screening process. In this study, we employed high-throughput in vivo LNP screening based on molecular barcoding to investigate the influence of LNP composition on immune tropism with applications in vaccines and systemic immunotherapies. Screening a large LNP library under both intramuscular (i.m.) and intravenous (i.v.) injection, we observed differential influences on LNP uptake by immune populations across the two administration routes, gleaning insight into LNP design criteria for in vivo immunoengineering. In validation studies, the lead LNP formulation for i.m. administration demonstrated substantial mRNA translation in the spleen and draining lymph nodes with a more favorable biodistribution profile than LNPs formulated with the clinical standard ionizable lipid DLin-MC3-DMA (MC3). The lead LNP formulations for i.v. administration displayed potent immune transfection in the spleen and peripheral blood, with one lead LNP demonstrating substantial transfection of splenic dendritic cells and another inducing substantial transfection of circulating monocytes. Altogether, the immunotropic LNPs identified by high-throughput in vivo screening demonstrated significant promise for both locally- and systemically-delivered mRNA and confirmed the value of the LNP design criteria gleaned from our screening process, which could potentially inform future endeavors in mRNA vaccine and immunotherapy applications."
2024 Jul,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2024 Jul;371:455-469. doi: 10.1016/j.jconrel.2024.05.036. Epub ,"['Geisler, Hannah C', 'Ghalsasi, Aditi A', 'Safford, Hannah C', 'Swingle, Kelsey L', 'Thatte, Ajay S', 'Mukalel, Alvin J', 'Gong, Ningqiang', 'Hamilton, Alex G', 'Han, Emily L', 'Nachod, Benjamin E', 'Padilla, Marshall S', 'Mitchell, Michael J']","['female', 'animals', ' erbb receptors metabolism', 'pregnancy', ' placenta metabolism', ' nanoparticles chemistry', ' rna, messenger administration & dosage', ' lipids chemistry', 'humans', 'mice', 'trophoblasts metabolism', 'liposomes', 'lipid nanoparticles', 'placenta', 'preeclampsia', 'pregnancy']",EGFR-targeted ionizable lipid nanoparticles enhance in vivo mRNA delivery to the placenta.,"The full potential of ionizable lipid nanoparticles (LNPs) as an in vivo nucleic acid delivery platform has not yet been realized given that LNPs primarily accumulate in the liver following systemic administration, limiting their success to liver-centric conditions. The engineering of LNPs with antibody targeting moieties can enable extrahepatic tropism by facilitating site-specific LNP tethering and driving preferential LNP uptake into receptor-expressing cell types via receptor-mediated endocytosis. Obstetric conditions stemming from placental dysfunction, such as preeclampsia, are characterized by overexpression of cellular receptors, including the epidermal growth factor receptor (EGFR), making targeted LNP platforms an exciting potential treatment strategy for placental dysfunction during pregnancy. Herein, an EGFR antibody-conjugated LNP (aEGFR-LNP) platform was developed by engineering LNPs with increasing densities of antibody functionalization. aEGFR-LNPs were screened in vitro in immortalized placental trophoblasts and in vivo in non-pregnant and pregnant mice and compared to non-targeted formulations for extrahepatic, antibody-targeted mRNA LNP delivery to the placenta. Our top performing LNP with an intermediate density of antibody functionalization (1:5 aEGFR-LNP) mediated a ∼twofold increase in mRNA delivery in murine placentas and a ∼twofold increase in LNP uptake in EGFR-expressing trophoblasts compared to non-targeted counterparts. These results demonstrate the potential of antibody-conjugated LNPs for achieving extrahepatic tropism, and the ability of aEGFR-LNPs in promoting mRNA delivery to EGFR-expressing cell types in the placenta."
2024 Jun 4,ACS nano,ACS Nano. 2024 Jun 4;18(22):13983-13999. doi: 10.1021/acsnano.4c00182. Epub 2024 ,"['Anchordoquy, Thomas', 'Artzi, Natalie', 'Balyasnikova, Irina V', 'Barenholz, Yechezkel', 'La-Beck, Ninh M', 'Brenner, Jacob S', 'Chan, Warren C W', 'Decuzzi, Paolo', 'Exner, Agata A', 'Gabizon, Alberto', 'Godin, Biana', 'Lai, Samuel K', 'Lammers, Twan', 'Mitchell, Michael J', 'Moghimi, S Moein', 'Muzykantov, Vladimir R', 'Peer, Dan', 'Nguyen, Juliane', 'Popovtzer, Rachela', 'Ricco, Madison', 'Serkova, Natalie J', 'Singh, Ravi', 'Schroeder, Avi', 'Schwendeman, Anna A', 'Straehla, Joelle P', 'Teesalu, Tambet', 'Tilden, Scott', 'Simberg, Dmitri']","['humans', 'drug carriers chemistry', 'liposomes chemistry', ' nanomedicine', 'nanoparticles chemistry', 'united states', 'barriers', 'complement', 'delivery', 'formulation', 'inflammation', 'mrna', 'nanomedicine', 'translation', 'tumor']",Mechanisms and Barriers in Nanomedicine: Progress in the Field and Future Directions.,"In recent years, steady progress has been made in synthesizing and characterizing engineered nanoparticles, resulting in several approved drugs and multiple promising candidates in clinical trials. Regulatory agencies such as the Food and Drug Administration and the European Medicines Agency released important guidance documents facilitating nanoparticle-based drug product development, particularly in the context of liposomes and lipid-based carriers. Even with the progress achieved, it is clear that many barriers must still be overcome to accelerate translation into the clinic. At the recent conference workshop ""Mechanisms and Barriers in Nanomedicine"" in May 2023 in Colorado, U.S.A., leading experts discussed the formulation, physiological, immunological, regulatory, clinical, and educational barriers. This position paper invites open, unrestricted, nonproprietary discussion among senior faculty, young investigators, and students to trigger ideas and concepts to move the field forward."
2024 May 18,Nature communications,Nat Commun. 2024 May 18;15(1):4235. doi: 10.1038/s41467-024-48589-3.,"['Zhao, Gan', 'Gentile, Maria E', 'Xue, Lulu', 'Cosgriff, Christopher V', 'Weiner, Aaron I', 'Adams-Tzivelekidis, Stephanie', 'Wong, Joanna', 'Li, Xinyuan', 'Kass-Gergi, Sara', 'Holcomb, Nicolas P', 'Basal, Maria C', 'Stewart, Kathleen M', 'Planer, Joseph D', 'Cantu, Edward', 'Christie, Jason D', 'Crespo, Maria M', 'Mitchell, Michael J', 'Meyer, Nuala J', 'Vaughan, Andrew E']","['animals', 'humans', ' covid-19 immunology virology metabolism pathology', 'mice', ' endothelial cells metabolism virology immunology', ' macrophage activation', ' sars-cov-2 physiology', ' lung virology pathology immunology', 'toll-like receptor 4 metabolism genetics', 'calcium-binding proteins metabolism genetics', 'mice, inbred c57bl', 'pneumonia, viral immunology pathology virology metabolism', 'male', 'macrophages metabolism immunology', 'female', 'mice, knockout', 'extracellular matrix proteins']",Vascular endothelial-derived SPARCL1 exacerbates viral pneumonia through pro-inflammatory macrophage activation.,"Inflammation induced by lung infection is a double-edged sword, moderating both anti-viral and immune pathogenesis effects; the mechanism of the latter is not fully understood. Previous studies suggest the vasculature is involved in tissue injury. Here, we report that expression of Sparcl1, a secreted matricellular protein, is upregulated in pulmonary capillary endothelial cells (EC) during influenza-induced lung injury. Endothelial overexpression of SPARCL1 promotes detrimental lung inflammation, with SPARCL1 inducing 'M1-like' macrophages and related pro-inflammatory cytokines, while SPARCL1 deletion alleviates these effects. Mechanistically, SPARCL1 functions through TLR4 on macrophages in vitro, while TLR4 inhibition in vivo ameliorates excessive inflammation caused by endothelial Sparcl1 overexpression. Finally, SPARCL1 expression is increased in lung ECs from COVID-19 patients when compared with healthy donors, while fatal COVID-19 correlates with higher circulating SPARCL1 protein levels in the plasma. Our results thus implicate SPARCL1 as a potential prognosis biomarker for deadly COVID-19 pneumonia and as a therapeutic target for taming hyperinflammation in pneumonia."
2024 Jun,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2024 Jun;370:614-625. doi: 10.1016/j.jconrel.2024.05.015. Epub ,"['Atsavapranee, Ella', 'Haley, Rebecca M', 'Billingsley, Margaret M', 'Chan, Alexander', 'Ruan, Biao', 'Figueroa-Espada, Christian G', 'Gong, Ningqiang', 'Mukalel, Alvin J', 'Bryan, Philip N', 'Mitchell, Michael J']","['humans', 'animals', ' cell proliferation drug effects', ' nanoparticles administration & dosage chemistry', ' lipids chemistry', 'cell line, tumor', 'mice, nude', 'female', 'proto-oncogene proteins p21(ras) genetics metabolism', 'ras proteins metabolism', 'tissue distribution', 'antineoplastic agents administration & dosage pharmacology chemistry', 'neoplasms drug therapy pathology', 'mice', 'drug delivery systems', 'drug delivery', 'lipid nanoparticles', 'protein therapeutics', 'ras', 'cancer']",Ionizable lipid nanoparticles for RAS protease delivery to inhibit cancer cell proliferation.,"Mutations in RAS, a family of proteins found in all human cells, drive a third of cancers, including many pancreatic, colorectal, and lung cancers. However, there is a lack of clinical therapies that can effectively prevent RAS from causing tumor growth. Recently, a protease was engineered that specifically degrades active RAS, offering a promising new tool for treating these cancers. However, like many other intracellularly acting protein-based therapies, this protease requires a delivery vector to reach its site of action within the cell. In this study, we explored the incorporation of cationic lipids into ionizable lipid nanoparticles (LNPs) to develop a RAS protease delivery platform capable of inhibiting cancer cell proliferation in vitro and in vivo. A library of 13 LNPs encapsulating RAS protease was designed, and each formulation was evaluated for in vitro delivery efficiency and toxicity. A subset of four top-performing LNP formulations was identified and further evaluated for their impact on cancer cell proliferation in human colorectal cancer cells with mutated KRAS in vitro and in vivo, as well as their in vivo biodistribution and toxicity. In vivo, both the concentration of cationic lipid and type of cargo influenced LNP and cargo distribution. All lead candidate LNPs showed RAS protease functionality in vitro, and the top-performing formulation achieved effective intracellular RAS protease delivery in vivo, decreasing cancer cell proliferation in an in vivo xenograft model and significantly reducing tumor growth and size. Overall, this work demonstrates the use of LNPs as an effective delivery platform for RAS proteases, which could potentially be utilized for cancer therapies."
2024,International journal of nanomedicine,Int J Nanomedicine. 2024 Mar 14;19:2655-2673. doi: 10.2147/IJN.S452896. ,"['da Silva, Walison Nunes', 'Carvalho Costa, Pedro Augusto', 'Scalzo Júnior, Sérgio Ricardo Aluotto', 'Ferreira, Heloísa A S', 'Prazeres, Pedro Henrique Dias Moura', 'Campos, Caroline Leonel Vasconcelos', 'Rodrigues Alves, Marco Túllio', 'Alves da Silva, Natália Jordana', 'de Castro Santos, Ana Luiza', 'Guimarães, Lays Cordeiro', 'Chen Ferris, Maria Eduarda', 'Thatte, Ajay', 'Hamilton, Alex', 'Bicalho, Kelly Alves', 'Lobo, Anderson Oliveira', 'Santiago, Helton da Costa', 'da Silva Barcelos, Lucíola', 'Figueiredo, Maria Marta', 'Teixeira, Mauro Martins', 'Vasconcelos Costa, Vivian', 'Mitchell, Michael J', 'Frézard, Frédéric', 'Pires Goulart Guimaraes, Pedro']","['animals', 'mice', ' tumor microenvironment', 'ligands', 'apoptosis', ' colonic neoplasms drug therapy genetics', 'tumor necrosis factor-alpha', 'tnf-related apoptosis-inducing ligand metabolism', ' liposomes', ' nanoparticles', 'trail', 'angiotensin (1–7)', 'immunotherapy', 'lipid nanoparticle', 'losartan', 'mrna']",Ionizable Lipid Nanoparticle-Mediated TRAIL mRNA Delivery in the Tumor Microenvironment to Inhibit Colon Cancer Progression.,"INTRODUCTION: Immunotherapy has revolutionized cancer treatment by harnessing the immune system to enhance antitumor responses while minimizing off-target effects. Among the promising cancer-specific therapies, tumor necrosis factor-related apoptosis-inducing ligand (TRAIL) has attracted significant attention. METHODS: Here, we developed an ionizable lipid nanoparticle (LNP) platform to deliver TRAIL mRNA (LNP-TRAIL) directly to the tumor microenvironment (TME) to induce tumor cell death. Our LNP-TRAIL was formulated via microfluidic mixing and the induction of tumor cell death was assessed in vitro. Next, we investigated the ability of LNP-TRAIL to inhibit colon cancer progression in vivo in combination with a TME normalization approach using Losartan (Los) or angiotensin 1-7 (Ang(1-7)) to reduce vascular compression and deposition of extracellular matrix in mice. RESULTS: Our results demonstrated that LNP-TRAIL induced tumor cell death in vitro and effectively inhibited colon cancer progression in vivo, particularly when combined with TME normalization induced by treatment Los or Ang(1-7). In addition, potent tumor cell death as well as enhanced apoptosis and necrosis was found in the tumor tissue of a group treated with LNP-TRAIL combined with TME normalization. DISCUSSION: Together, our data demonstrate the potential of the LNP to deliver TRAIL mRNA to the TME and to induce tumor cell death, especially when combined with TME normalization. Therefore, these findings provide important insights for the development of novel therapeutic strategies for the immunotherapy of solid tumors."
2024 May,Nature biomedical engineering,Nat Biomed Eng. 2024 May;8(5):664. doi: 10.1038/s41551-024-01198-3.,"['Gong, Ningqiang', 'Han, Xuexiang', 'Xue, Lulu', 'Billingsley, Margaret M', 'Huang, Xisha', 'El-Mayta, Rakan', 'Qin, Jingya', 'Sheppard, Neil C', 'June, Carl H', 'Mitchell, Michael J']",[],Author Correction: Small-molecule-mediated control of the anti-tumour activity and off-tumour toxicity of a supramolecular bispecific T cell engager.,
2024 Mar 15,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Mar 15. doi: 10.1002/jbm.a.37705.,"['Mrksich, Kaitlin', 'Padilla, Marshall S', 'Joseph, Ryann A', 'Han, Emily L', 'Kim, Dongyoon', 'Palanki, Rohan', 'Xu, Junchao', 'Mitchell, Michael J']","['ionizable lipid', 'lipid nanoparticle', 'mrna']",Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length.,"RNA-based therapeutics have gained traction for the prevention and treatment of a variety of diseases. However, their fragility and immunogenicity necessitate a drug carrier. Lipid nanoparticles (LNPs) have emerged as the predominant delivery vehicle for RNA therapeutics. An important component of LNPs is the ionizable lipid (IL), which is protonated in the acidic environment of the endosome, prompting cargo release into the cytosol. Currently, there is growing evidence that the structure of IL lipid tails significantly impacts the efficacy of LNP-mediated mRNA translation. Here, we optimized IL tail length for LNP-mediated delivery of three different mRNA cargos. Using C12-200, a gold standard IL, as a model, we designed a library of ILs with varying tail lengths and evaluated their potency in vivo. We demonstrated that small changes in lipophilicity can drastically increase or decrease mRNA translation. We identified that LNPs formulated with firefly luciferase mRNA (1929 base pairs) and C10-200, an IL with shorter tail lengths than C12-200, enhance liver transfection by over 10-fold. Furthermore, different IL tail lengths were found to be ideal for transfection of LNPs encapsulating mRNA cargos of varying sizes. LNPs formulated with erythropoietin (EPO), responsible for stimulating red blood cell production, mRNA (858 base pairs), and the C13-200 IL led to EPO translation at levels similar to the C12-200 LNP. The LNPs formulated with Cas9 mRNA (4521 base pairs) and the C9-200 IL induced over three times the quantity of indels compared with the C12-200 LNP. Our findings suggest that shorter IL tails may lead to higher transfection of LNPs encapsulating larger mRNAs, and that longer IL tails may be more efficacious for delivering smaller mRNA cargos. We envision that the results of this project can be utilized as future design criteria for the next generation of LNP delivery systems for RNA therapeutics."
2024 Feb 29,Nature communications,Nat Commun. 2024 Feb 29;15(1):1884. doi: 10.1038/s41467-024-45422-9.,"['Xue, Lulu', 'Hamilton, Alex G', 'Zhao, Gan', 'Xiao, Zebin', 'El-Mayta, Rakan', 'Han, Xuexiang', 'Gong, Ningqiang', 'Xiong, Xinhong', 'Xu, Junchao', 'Figueroa-Espada, Christian G', 'Shepherd, Sarah J', 'Mukalel, Alvin J', 'Alameh, Mohamad-Gabriel', 'Cui, Jiaxi', 'Wang, Karin', 'Vaughan, Andrew E', 'Weissman, Drew', 'Mitchell, Michael J']","['female', 'animals', 'mice', 'rna, messenger genetics', ' dna', ' nanoparticles', 'lung', 'lipids']","High-throughput barcoding of nanoparticles identifies cationic, degradable lipid-like materials for mRNA delivery to the lungs in female preclinical models.","Lipid nanoparticles for delivering mRNA therapeutics hold immense promise for the treatment of a wide range of lung-associated diseases. However, the lack of effective methodologies capable of identifying the pulmonary delivery profile of chemically distinct lipid libraries poses a significant obstacle to the advancement of mRNA therapeutics. Here we report the implementation of a barcoded high-throughput screening system as a means to identify the lung-targeting efficacy of cationic, degradable lipid-like materials. We combinatorially synthesize 180 cationic, degradable lipids which are initially screened in vitro. We then use barcoding technology to quantify how the selected 96 distinct lipid nanoparticles deliver DNA barcodes in vivo. The top-performing nanoparticle formulation delivering Cas9-based genetic editors exhibits therapeutic potential for antiangiogenic cancer therapy within a lung tumor model in female mice. These data demonstrate that employing high-throughput barcoding technology as a screening tool for identifying nanoparticles with lung tropism holds potential for the development of next-generation extrahepatic delivery platforms."
